year,station_a,station_b,station_c
1946,23.03909090909091,15.324545454545454,12.8
1947,22.12,16.213333333333335,12.616363636363637
1948,22.804166666666667,15.475454545454546,13.023333333333333
1949,22.259166666666665,15.06,12.425833333333333
1950,22.726666666666667,15.195,12.544166666666667
1951,23.369166666666665,15.366666666666667,12.765833333333333
1952,23.409166666666668,15.063333333333333,12.751666666666667
1953,23.23,14.58,13.308333333333334
1954,22.753333333333334,15.246666666666666,13.01
1955,21.755833333333335,14.436666666666667,12.380833333333333
1956,23.3025,14.7325,13.123333333333333
1957,23.6625,15.9825,13.749166666666666
1958,24.844166666666666,16.642500000000002,14.506666666666666
1959,24.333333333333332,16.528333333333332,13.963333333333333
1960,22.935,15.5825,13.388333333333334
1961,23.115,15.5625,13.4675
1962,22.855,15.180833333333334,13.385833333333334
1963,23.919999999999998,16.15,14.1525
1964,22.3375,15.040833333333333,13.091666666666667
1965,23.1275,15.669166666666667,13.321666666666667
1966,23.0925,15.716666666666667,12.560833333333333
1967,22.825,15.973333333333333,13.008333333333333
1968,23.138333333333335,15.71,13.1675
1969,22.944166666666668,15.645,13.215833333333332
1970,22.805833333333332,15.396666666666667,12.684166666666666
1971,22.505833333333335,14.7475,12.255833333333333
1972,23.766666666666666,15.227500000000001,12.665833333333333
1973,22.200833333333335,14.709999999999999,12.371666666666666
1974,22.4625,14.800833333333333,12.203333333333333
1975,22.013333333333332,14.359166666666667,11.826666666666666
1976,23.052500000000002,15.689166666666667,12.490833333333333
1977,23.456666666666667,15.513333333333334,12.625833333333333
1978,23.218333333333334,15.843333333333334,12.785833333333333
1979,22.313333333333333,15.7,12.818333333333333
1980,23.285,15.7475,12.923333333333334
1981,23.3275,15.88,12.066666666666666
1982,23.393333333333334,15.586666666666666,12.430833333333334
1983,24.9025,16.685833333333335,13.480833333333333
1984,23.674166666666665,15.935833333333333,11.966666666666667
1985,22.795833333333334,15.346666666666668,11.575833333333334
1986,22.984166666666667,15.683333333333334,12.361666666666666
1987,23.471666666666668,16.003333333333334,12.5625
1988,22.2625,15.530833333333334,11.880833333333333
1989,22.541666666666668,15.491666666666667,11.8625
1990,23.814166666666665,15.864166666666666,11.925
